'worldPose: x: -1.574101,y: -0.168876,theta: 0.051173, gridPosition: x: 0, y: 0'
'worldPose: x: -1.559581,y: -0.152685,theta: 0.054327, gridPosition: x: 0, y: 0'
'worldPose: x: -1.559581,y: -0.152685,theta: 0.054327, gridPosition: x: 0, y: 0'
'worldPose: x: -1.506481,y: -0.167785,theta: 0.057037, gridPosition: x: 0, y: 0'
'worldPose: x: -1.495561,y: -0.158056,theta: 0.058930, gridPosition: x: 0, y: 0'
'worldPose: x: -1.495561,y: -0.158056,theta: 0.058930, gridPosition: x: 0, y: 0'
'worldPose: x: -1.495561,y: -0.158056,theta: 0.058930, gridPosition: x: 0, y: 0'
'worldPose: x: -1.439052,y: -0.172900,theta: 0.061169, gridPosition: x: 0, y: 0'
'worldPose: x: -1.439052,y: -0.172900,theta: 0.061169, gridPosition: x: 0, y: 0'
'worldPose: x: -1.425664,y: -0.165738,theta: 0.062535, gridPosition: x: 0, y: 0'
'worldPose: x: -1.425664,y: -0.165738,theta: 0.062535, gridPosition: x: 0, y: 0'
'worldPose: x: -1.370313,y: -0.181364,theta: 0.065156, gridPosition: x: 0, y: 0'
'worldPose: x: -1.370313,y: -0.181364,theta: 0.065156, gridPosition: x: 0, y: 0'
