'worldPose: x: 105.835930,y: 64.079357,theta: 1.546987, gridPosition: x: 0, y: 0'
'worldPose: x: 105.836564,y: 64.105397,theta: 1.546159, gridPosition: x: 0, y: 0'
'worldPose: x: 105.837079,y: 64.126194,theta: 1.545916, gridPosition: x: 0, y: 0'
'worldPose: x: 105.837866,y: 64.157441,theta: 1.545408, gridPosition: x: 0, y: 0'
'worldPose: x: 105.838539,y: 64.183555,theta: 1.544736, gridPosition: x: 0, y: 0'
'worldPose: x: 105.839227,y: 64.209484,theta: 1.543936, gridPosition: x: 0, y: 0'
'worldPose: x: 105.839801,y: 64.230324,theta: 1.542758, gridPosition: x: 0, y: 0'
'worldPose: x: 105.840724,y: 64.261856,theta: 1.540827, gridPosition: x: 0, y: 0'
'worldPose: x: 105.825059,y: 64.280946,theta: 1.543340, gridPosition: x: 0, y: 0'
'worldPose: x: 105.825792,y: 64.307386,theta: 1.542928, gridPosition: x: 0, y: 0'
'worldPose: x: 105.826518,y: 64.333012,theta: 1.542139, gridPosition: x: 0, y: 0'
'worldPose: x: 105.827281,y: 64.359044,theta: 1.540935, gridPosition: x: 0, y: 0'
'worldPose: x: 105.814962,y: 64.398137,theta: 1.542716, gridPosition: x: 0, y: 0'
'worldPose: x: 105.814089,y: 64.425458,theta: 1.549863, gridPosition: x: 0, y: 0'
'worldPose: x: 105.814651,y: 64.451487,theta: 1.548736, gridPosition: x: 0, y: 0'
'worldPose: x: 105.815251,y: 64.477517,theta: 1.547300, gridPosition: x: 0, y: 0'
'worldPose: x: 105.815900,y: 64.503553,theta: 1.545099, gridPosition: x: 0, y: 0'
'worldPose: x: 105.804386,y: 64.516500,theta: 1.543013, gridPosition: x: 0, y: 0'
'worldPose: x: 105.805110,y: 64.542379,theta: 1.542723, gridPosition: x: 0, y: 0'
'worldPose: x: 105.805850,y: 64.568440,theta: 1.542115, gridPosition: x: 0, y: 0'
'worldPose: x: 105.806620,y: 64.594462,theta: 1.540605, gridPosition: x: 0, y: 0'
'worldPose: x: 105.800906,y: 64.628228,theta: 1.538816, gridPosition: x: 0, y: 0'
'worldPose: x: 105.790287,y: 64.658060,theta: 1.538229, gridPosition: x: 0, y: 0'
'worldPose: x: 105.791458,y: 64.693511,theta: 1.537396, gridPosition: x: 0, y: 0'
'worldPose: x: 105.792343,y: 64.719510,theta: 1.536300, gridPosition: x: 0, y: 0'
'worldPose: x: 105.793264,y: 64.745576,theta: 1.534911, gridPosition: x: 0, y: 0'
'worldPose: x: 105.794216,y: 64.771607,theta: 1.533805, gridPosition: x: 0, y: 0'
'worldPose: x: 105.801274,y: 64.788961,theta: 1.526024, gridPosition: x: 0, y: 0'
'worldPose: x: 105.802452,y: 64.814937,theta: 1.525038, gridPosition: x: 0, y: 0'
'worldPose: x: 105.803697,y: 64.841700,theta: 1.523935, gridPosition: x: 0, y: 0'
'worldPose: x: 105.804929,y: 64.867674,theta: 1.523131, gridPosition: x: 0, y: 0'
'worldPose: x: 105.806173,y: 64.893675,theta: 1.522916, gridPosition: x: 0, y: 0'
'worldPose: x: 105.807414,y: 64.919662,theta: 1.523272, gridPosition: x: 0, y: 0'
'worldPose: x: 105.808639,y: 64.945688,theta: 1.524227, gridPosition: x: 0, y: 0'
'worldPose: x: 105.810194,y: 64.973841,theta: 1.526473, gridPosition: x: 0, y: 0'
'worldPose: x: 105.814027,y: 64.999569,theta: 1.529331, gridPosition: x: 0, y: 0'
'worldPose: x: 105.815067,y: 65.025578,theta: 1.531767, gridPosition: x: 0, y: 0'
'worldPose: x: 105.816052,y: 65.051581,theta: 1.533668, gridPosition: x: 0, y: 0'
'worldPose: x: 105.816859,y: 65.073820,theta: 1.534964, gridPosition: x: 0, y: 0'
'worldPose: x: 105.817938,y: 65.104732,theta: 1.536294, gridPosition: x: 0, y: 0'
'worldPose: x: 105.818881,y: 65.132106,theta: 1.536328, gridPosition: x: 0, y: 0'
'worldPose: x: 105.819823,y: 65.159495,theta: 1.536608, gridPosition: x: 0, y: 0'
'worldPose: x: 105.820689,y: 65.185528,theta: 1.538184, gridPosition: x: 0, y: 0'
'worldPose: x: 105.805225,y: 65.205699,theta: 1.540223, gridPosition: x: 0, y: 0'
'worldPose: x: 105.805995,y: 65.231718,theta: 1.541682, gridPosition: x: 0, y: 0'
'worldPose: x: 105.806743,y: 65.257747,theta: 1.542307, gridPosition: x: 0, y: 0'
'worldPose: x: 105.807472,y: 65.283801,theta: 1.543256, gridPosition: x: 0, y: 0'
'worldPose: x: 105.808165,y: 65.309813,theta: 1.544858, gridPosition: x: 0, y: 0'
'worldPose: x: 105.808815,y: 65.335840,theta: 1.546373, gridPosition: x: 0, y: 0'
'worldPose: x: 105.809440,y: 65.361889,theta: 1.546937, gridPosition: x: 0, y: 0'
'worldPose: x: 105.810059,y: 65.387921,theta: 1.547197, gridPosition: x: 0, y: 0'
'worldPose: x: 105.792643,y: 65.419166,theta: 1.548205, gridPosition: x: 0, y: 0'
'worldPose: x: 105.793210,y: 65.445174,theta: 1.549626, gridPosition: x: 0, y: 0'
'worldPose: x: 105.793733,y: 65.471187,theta: 1.551439, gridPosition: x: 0, y: 0'
'worldPose: x: 105.794213,y: 65.497263,theta: 1.553012, gridPosition: x: 0, y: 0'
'worldPose: x: 105.794659,y: 65.523246,theta: 1.553948, gridPosition: x: 0, y: 0'
'worldPose: x: 105.795083,y: 65.549297,theta: 1.554971, gridPosition: x: 0, y: 0'
'worldPose: x: 105.795478,y: 65.575320,theta: 1.556064, gridPosition: x: 0, y: 0'
'worldPose: x: 105.795842,y: 65.601387,theta: 1.557368, gridPosition: x: 0, y: 0'
'worldPose: x: 105.790890,y: 65.618540,theta: 1.558739, gridPosition: x: 0, y: 0'
'worldPose: x: 105.791180,y: 65.644568,theta: 1.560236, gridPosition: x: 0, y: 0'
'worldPose: x: 105.791438,y: 65.671144,theta: 1.561538, gridPosition: x: 0, y: 0'
'worldPose: x: 105.791656,y: 65.696732,theta: 1.562775, gridPosition: x: 0, y: 0'
'worldPose: x: 105.791845,y: 65.722678,theta: 1.564028, gridPosition: x: 0, y: 0'
